city,country,lat,lng
jilin,china,43.8519,126.5481
dandong,china,40.1167,124.3833
zhuhai,china,22.2769,113.5678
lianshan,china,40.7523,120.828
yingkou,china,40.6653,122.2297
antalya,turkey,36.8874,30.7075
nāgpur,india,21.1497,79.0806
queens,united states,40.7498,-73.7976
accra,ghana,5.55,-0.2
bekasi,indonesia,-6.2349,106.9923
ghāziābād,india,28.67,77.42
yuxi,china,24.3495,102.5432
luoyang,china,34.6587,112.4245
brisbane,australia,-27.4678,153.0281
anshun,china,26.2456,105.934
depok,indonesia,-6.394,106.8225
shangzhou,china,33.868,109.9244
huainan,china,32.4831,117.0164
colombo,sri lanka,6.9344,79.8428
kuaidamao,china,41.7302,125.9471
baku,azerbaijan,40.3667,49.8352
fukuoka,japan,33.5833,130.4
yan’an,china,36.5952,109.4863
jincheng,china,35.4906,112.8483
vancouver,canada,49.25,-123.1
nantong,china,31.9829,120.8873
tangerang,indonesia,-6.1783,106.6319
caracas,venezuela,10.4806,-66.9036
sanmenxia,china,34.7736,111.195
laibin,china,23.7333,109.2333
konya,turkey,37.8667,32.4833
manaus,brazil,-3.1,-60.0167
eşfahān,iran,32.6447,51.6675
qinbaling,china,35.7278,107.64
baltimore,united states,39.3051,-76.6144
ma’anshan,china,31.6858,118.5101
shengli,china,37.45,118.4667
gaoping,china,30.7824,106.1281
taizhou,china,28.6583,121.4221
harare,zimbabwe,-17.8292,31.0522
kowloon,hong kong,22.3167,114.1833
las vegas,united states,36.2333,-115.2654
havana,cuba,23.1367,-82.3589
perth,australia,-31.9559,115.8606
phnom penh,cambodia,11.5694,104.9211
puning,china,23.2993,116.1586
huaibei,china,33.9562,116.789
qingyang,china,24.8141,118.5792
haiphong,vietnam,20.8651,106.6838
chongzuo,china,22.4167,107.3667
rawalpindi,pakistan,33.6,73.0333
yushan,china,31.3867,120.9766
st. louis,united states,38.6359,-90.2451
kumasi,ghana,6.6667,-1.6167
vadodara,india,22.3,73.2
hezhou,china,24.4164,111.5478
pingliang,china,35.5412,106.6819
portland,united states,45.5371,-122.65
vishākhapatnam,india,17.7042,83.2978
gujranwala,pakistan,32.1567,74.19
baicheng,china,45.6148,122.832
gaziantep,turkey,37.0628,37.3792
fushun,china,41.8708,123.8917
riverside,united states,33.9381,-117.3949
bamako,mali,12.6458,-7.9922
quito,ecuador,-0.22,-78.5125
minsk,belarus,53.9,27.5667
tijuana,mexico,32.525,-117.0333
bamenda,cameroon,5.9614,10.1517
boosaaso,somalia,11.2886,49.1819
indore,india,22.7167,75.8472
şanlıurfa,turkey,37.1583,38.7917
vienna,austria,48.2083,16.3725
karaj,iran,35.8272,50.9489
kananga,congo (kinshasa),-5.897,22.4488
peshawar,pakistan,34.0144,71.5675
sapporo,japan,43.0667,141.35
ecatepec,mexico,19.6097,-99.06
pingxiang,china,27.6333,113.85
orlando,united states,28.4773,-81.337
aleppo,syria,36.2,37.16
sacramento,united states,38.5677,-121.4685
almaty,kazakhstan,43.2775,76.8958
san juan,puerto rico,18.3985,-66.061
san antonio,united states,29.4632,-98.5238
yinchuan,china,38.4795,106.2254
thāne,india,19.1972,72.9722
santos,brazil,-23.9369,-46.325
blantyre,malawi,-15.7861,35.0058
bucharest,romania,44.4325,26.1039
curitiba,brazil,-25.4297,-49.2711
multan,pakistan,30.1978,71.4697
tainan,taiwan,22.9833,120.1833
xiping,china,40.082,113.2981
port harcourt,nigeria,4.8242,7.0336
warsaw,poland,52.23,21.0111
jixi,china,45.2937,130.965
saidu sharif,pakistan,34.75,72.3572
liaoyang,china,41.2643,123.1772
beihai,china,21.4667,109.1
meru,kenya,0.05,37.65
brazzaville,congo (brazzaville),-4.2694,15.2714
fuxin,china,42.0127,121.6486
wuwei,china,37.9278,102.6329
mersin,turkey,36.8,34.6333
bhopāl,india,23.25,77.4167
lubumbashi,congo (kinshasa),-11.6647,27.4794
denpasar,indonesia,-8.65,115.2167
davao,philippines,7.0667,125.6
shuyangzha,china,34.1299,118.7734
adana,turkey,37.0,35.3213
damascus,syria,33.5131,36.2919
brussels,belgium,50.8467,4.3525
hyderabad city,pakistan,25.3792,68.3683
diyarbakır,turkey,37.91,40.24
san jose,united states,37.3012,-121.848
chinchvad,india,18.6186,73.8037
montevideo,uruguay,-34.8836,-56.1819
pittsburgh,united states,40.4397,-79.9763
shuozhou,china,39.3408,112.4292
cincinnati,united states,39.1413,-84.506
benxi,china,41.292,123.761
baiyin,china,36.5448,104.1766
mosul,iraq,36.34,43.13
manhattan,united states,40.7834,-73.9662
caloocan city,philippines,14.65,120.97
kampala,uganda,0.3136,32.5811
patna,india,25.6,85.1
tegucigalpa,honduras,14.1,-87.2167
cleveland,united states,41.4764,-81.6805
sanzhou,china,30.82,108.4
changshu,china,31.65,120.7333
mecca,saudi arabia,21.4225,39.8233
heihe,china,50.2458,127.4886
jingdezhen,china,29.2942,117.2036
conakry,guinea,9.5092,-13.7122
recife,brazil,-8.05,-34.9
indianapolis,united states,39.7771,-86.1458
austin,united states,30.3005,-97.7522
sangereng,indonesia,-6.2889,106.7181
kansas city,united states,39.1238,-94.5541
zhongli,taiwan,24.965,121.2168
novosibirsk,russia,55.0333,82.9167
bilāspur,india,22.09,82.15
semarang,indonesia,-6.9667,110.4167
ludhiāna,india,30.91,75.85
nārāyanganj,bangladesh,23.62,90.5
stockholm,sweden,59.3294,18.0686
chengtangcun,china,35.0833,117.15
āgra,india,27.18,78.02
balandougou,mali,13.3558,-9.5517
agwār,india,27.18,78.02
león de los aldama,mexico,21.1167,-101.6833
yopougon,côte d'ivoire,5.3167,-4.0667
puebla,mexico,19.0333,-98.1833
madurai,india,9.9252,78.1198
hebi,china,35.7497,114.2887
córdoba,argentina,-31.4167,-64.1833
shīrāz,iran,29.61,52.5425
jamshedpur,india,22.7925,86.1842
tabrīz,iran,38.0814,46.3006
huzhou,china,30.8925,120.0875
columbus,united states,39.9862,-82.9855
sofia,bulgaria,42.7,23.33
kawasaki,japan,35.5167,139.7
san josé,costa rica,9.9325,-84.08
aba,nigeria,5.1167,7.3667
palembang,indonesia,-2.9861,104.7556
zhangjiajie,china,29.1255,110.4844
kōbe,japan,34.69,135.1956
jiaxing,china,30.7522,120.75
charlotte,united states,35.2083,-80.8303
guiping,china,23.4,110.0833
lianjiang,china,21.6146,110.2794
ximeicun,china,24.9633,118.3811
jianguang,china,28.1958,115.7833
yucheng,china,29.9888,103.0007
panama city,panama,8.9833,-79.5167
xushan,china,30.1697,121.2665
belém,brazil,-1.4558,-48.5039
virginia beach,united states,36.7335,-76.0435
leizhou,china,20.9147,110.0806
gwangju,south korea,35.1653,126.8486
nāsik,india,20.0,73.78
porto alegre,brazil,-30.0331,-51.23
valencia,venezuela,10.1667,-68.0
onitsha,nigeria,6.1667,6.7833
abu dhabi,united arab emirates,24.4667,54.3667
daejeon,south korea,36.351,127.385
zapopan,mexico,20.7167,-103.4
bronx,united states,40.8501,-73.8662
yekaterinburg,russia,56.8356,60.6128
huazhou,china,32.6832,112.079
kyōto,japan,35.0117,135.7683
jinhua,china,29.1046,119.6494
amsterdam,netherlands,52.3728,4.8936
shuangyashan,china,46.6388,131.1545
pizhou,china,34.3422,118.0097
el kelaa des srarhna,morocco,32.0481,-7.4083
dakar,senegal,14.6928,-17.4467
kharkiv,ukraine,49.9925,36.2311
yangshe,china,31.8775,120.5512
guyuan,china,36.008,106.2782
rui’an,china,27.778,120.6526
khulna,bangladesh,22.8167,89.55
muscat,oman,23.6139,58.5922
wenling,china,28.3797,121.3718
gaozhou,china,21.9135,110.8481
farīdābād,india,28.4167,77.3
chizhou,china,30.6583,117.4849
tel aviv-yafo,israel,32.08,34.78
ulaanbaatar,mongolia,47.9203,106.9172
goiânia,brazil,-16.6667,-49.25
fuqing,china,25.7232,119.3735
kayseri,turkey,38.7225,35.4875
wuzhong,china,37.9874,106.1919
belgrade,serbia,44.82,20.46
pingdu,china,36.7833,119.9556
milan,italy,45.4669,9.19
aurangābād,india,19.88,75.32
copenhagen,denmark,55.6761,12.5683
yangquan,china,37.8576,113.5762
yutan,china,28.3147,112.554
huangshan,china,29.7132,118.3151
auckland,new zealand,-36.8406,174.74
makassar,indonesia,-5.1619,119.4362
santiago,dominican republic,19.4572,-70.6889
milwaukee,united states,43.0642,-87.9675
rājkot,india,22.3,70.7833
prague,czechia,50.0875,14.4214
samsun,turkey,41.2903,36.3336
liangshi,china,27.2578,111.7351
barranquilla,colombia,10.9833,-74.8019
saitama,japan,35.8614,139.6456
guarulhos,brazil,-23.4628,-46.5328
al başrah,iraq,30.515,47.81
mandalay,myanmar,21.9831,96.0844
juárez,mexico,31.7386,-106.487
xintai,china,35.91,117.78
wusong,china,30.9333,117.7667
meerut,india,28.98,77.71
yushu,china,44.8249,126.5451
rongcheng,china,26.2312,104.0966
huazhou,china,21.654,110.6294
adelaide,australia,-34.9275,138.6
baishan,china,41.9377,126.4179
dayan,china,26.8808,100.2208
haicheng,china,40.8523,122.7474
tripoli,libya,32.8872,13.1914
jiangyin,china,31.9087,120.2653
yicheng,china,31.3697,119.8239
huaiyin,china,33.5819,119.028
porto,portugal,41.1621,-8.622
cacuaco,angola,-8.8053,13.2444
soweto,south africa,-26.2678,27.8585
rosario,argentina,-32.9575,-60.6394
canagatan,philippines,18.0,121.8
helsinki,finland,60.1708,24.9375
jabalpur,india,23.1667,79.9333
providence,united states,41.823,-71.4187
rucheng,china,32.3852,120.5634
nizhniy novgorod,russia,56.3269,44.0075
ahvāz,iran,31.3203,48.6692
jepara,indonesia,-6.5333,110.6667
shaoyang,china,32.9387,119.8404
comayagüela,honduras,14.0981,-87.2097
laiwu,china,36.1833,117.6667
sharjah,united arab emirates,25.3575,55.3908
kalamboli,india,19.2333,73.1333
jingling,china,30.6667,113.1667
kazan,russia,55.7964,49.1089
suwon,south korea,37.2667,127.0167
yongcheng,china,33.9317,116.4459
sumedang,indonesia,-6.84,107.9208
calgary,canada,51.05,-114.0667
cần thơ,vietnam,10.0333,105.7833
yiwu,china,29.3081,120.0698
bagam,indonesia,1.0833,104.0333
beidao,china,34.602,105.918
vasai,india,19.47,72.8
xiangshui,china,26.5964,104.8314
jacksonville,united states,30.3322,-81.6749
akçaabat,turkey,41.0167,39.55
campinas,brazil,-22.9058,-47.0608
dadukou,china,26.5849,101.7149
mombasa,kenya,-4.05,39.6667
lingcheng,china,22.7,110.35
najafgarh,india,28.6092,76.9798
vila velha,brazil,3.2167,-51.2167
gāzipura,bangladesh,23.9889,90.375
chelyabinsk,russia,55.15,61.4
vārānasi,india,25.3189,83.0128
xinyu,china,27.795,114.9242
qom,iran,34.64,50.8764
hargeysa,somalia,9.5631,44.0675
zhangye,china,38.9355,100.4553
hiroshima,japan,34.3914,132.4519
maiduguri,nigeria,11.8333,13.15
chiang mai,thailand,18.7953,98.9986
doha,qatar,25.2867,51.5333
maputo,mozambique,-25.9667,32.5833
mbandaka,congo (kinshasa),0.0478,18.2558
pikine,senegal,14.75,-17.4
medina,saudi arabia,24.47,39.61
srīnagar,india,34.09,74.79
omsk,russia,54.9667,73.3833
dublin,ireland,53.35,-6.2603
liaoyuan,china,42.8976,125.1381
cilacap,indonesia,-7.7167,109.017
yingtan,china,28.2333,117.0
bandar lampung,indonesia,-5.45,105.2667
samara,russia,53.2028,50.1408
guankou,china,28.1417,113.625
ulsan,south korea,35.55,129.3167
dhanbād,india,23.7998,86.4305
dingzhou,china,38.5158,114.9845
lianyuan,china,27.6961,111.6659
rongcheng,china,29.8239,112.9019
kaiyuan,china,36.0656,113.8153
nay pyi taw,myanmar,19.7475,96.115
zhuji,china,29.7169,120.2314
kigali,rwanda,-1.9536,30.0606
bukavu,congo (kinshasa),-2.5,28.8667
leiyang,china,26.4179,112.8457
bafoussam,cameroon,5.4667,10.4167
yichun,china,47.7235,128.8893
benin city,nigeria,6.3333,5.6222
rostov,russia,47.2333,39.7
xiantao,china,30.3833,113.4
amritsar,india,31.64,74.86
callao,peru,-12.0333,-77.1333
salt lake city,united states,40.7776,-111.9311
alīgarh,india,27.88,78.08
shagamu,nigeria,6.8333,3.65
yingchuan,china,34.1511,113.4733
ciudad nezahualcóyotl,mexico,19.4081,-99.0186
tbilisi,georgia,41.7225,44.7925
guwāhāti,india,26.1722,91.7458
ufa,russia,54.7261,55.9475
fès,morocco,34.0433,-5.0033
são luís,brazil,-2.5283,-44.3044
biên hòa,vietnam,10.95,106.8167
sevilla,spain,37.24,-5.99
n’djamena,chad,12.11,15.05
mexicali,mexico,32.6633,-115.4678
nezahualcóyotl,mexico,19.4006,-99.0148
ikare,nigeria,7.5167,5.75
nashville,united states,36.1715,-86.7842
tamale,ghana,9.4075,-0.8533
xibeijie,china,39.737,98.5049
yuyao,china,30.0372,121.1546
hāora,india,22.58,88.3294
hanchuan,china,30.652,113.8274
gongzhuling,china,43.5036,124.8088
krasnoyarsk,russia,56.0089,92.8719
cologne,germany,50.9364,6.9528
bujumbura,burundi,-3.3833,29.3667
bishkek,kyrgyzstan,42.8747,74.6122
zhufeng,china,36.0,119.4167
são gonçalo,brazil,-22.8269,-43.0539
yerevan,armenia,40.1814,44.5144
ezhou,china,30.3972,114.8842
nur-sultan,kazakhstan,51.1472,71.4222
tongjin,south korea,37.2333,127.2
nouakchott,mauritania,18.0858,-15.9785
xiashi,china,30.5333,120.6833
rānchi,india,23.36,85.33
taixing,china,32.1724,120.0142
vereeniging,south africa,-26.6736,27.9319
gwalior,india,26.2215,78.178
zhongwei,china,37.5139,105.1884
goyang,south korea,37.65,126.8
oslo,norway,59.9133,10.7389
vijayavāda,india,16.5193,80.6305
chandīgarh,india,30.75,76.78
edmonton,canada,53.5344,-113.4903
sendai,japan,38.2682,140.8694
raleigh,united states,35.8324,-78.6429
mizhou,china,35.99,119.3801
tunis,tunisia,36.8064,10.1817
xishan,china,27.6609,113.4946
barquisimeto,venezuela,10.0678,-69.3467
hegang,china,47.3139,130.2775
voronezh,russia,51.6717,39.2106
perm,russia,58.0139,56.2489
changwon,south korea,35.2708,128.6631
fangchenggang,china,21.6,108.3
shouguang,china,36.8833,118.7333
bogor,indonesia,-6.5966,106.7972
cartagena,colombia,10.4,-75.5
matola,mozambique,-25.9667,32.4667
jodhpur,india,26.28,73.02
memphis,united states,35.1087,-89.9663
ogbomoso,nigeria,8.1333,4.25
rangapukur,bangladesh,25.56,89.25
managua,nicaragua,12.1544,-86.2738
sanya,china,18.2533,109.5036
shymkent,kazakhstan,42.3167,69.5958
wutong,china,30.6326,120.5474
niamey,niger,13.515,2.1175
shubrā al khaymah,egypt,30.1286,31.2422
linhai,china,28.8523,121.1409
denizli,turkey,37.7667,29.0833
maceió,brazil,-9.6658,-35.735
monrovia,liberia,6.3133,-10.8014
wafangdian,china,39.6271,121.9972
zhongxiang,china,31.169,112.5853
louisville,united states,38.1663,-85.6485
odesa,ukraine,46.4775,30.7326
thủ đức,vietnam,10.8266,106.7609
volgograd,russia,48.7086,44.5147
islamabad,pakistan,33.6931,73.0639
port-au-prince,haiti,18.5333,-72.3333
xinyi,china,22.3559,110.9369
raipur,india,21.25,81.63
arequipa,peru,-16.4,-71.5333
richmond,united states,37.5295,-77.4756
zaoyang,china,32.1287,112.7581
buffalo,united states,42.9018,-78.8487
shuizhai,china,33.4433,114.8994
xingyi,china,25.091,104.9011
kota,india,25.18,75.83
quetta,pakistan,30.1833,67.0
kathmandu,nepal,27.7172,85.324
ottawa,canada,45.4247,-75.695
lilongwe,malawi,-13.9833,33.7833
asmara,eritrea,15.3228,38.925
freetown,sierra leone,8.4844,-13.2344
vientiane,laos,17.9667,102.6
jerusalem,israel,31.7784,35.2066
riga,latvia,56.9489,24.1064
